Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.6679006183766,..,..,47.5382875354624,..,48.0808206957004,46.5212209339476,..,..,48.3650297879814,..,..
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.6679006183766,..,..,40.9706820023791,..,40.6013716491013,39.4731116204217,..,..,44.7608888817092,..,..
Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.42544500233656,..,8.30441828272541,9.09803054162119,..,..,17.2683792834211,..,..
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.0727233886719,..,98.8549270629883,96.727409362793,94.2950592041016,95.5853118896484,96.0799331665039,..,92.4741134643555,98.5383071899414,96.5850830078125,..,95.6971817016602,95.5137481689453,93.7790374755859,94.7150573730469,94.7733383178711,..,..
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93.5139770507813,97.2598419189453,..,93.7057113647461,97.9007034301758,97.5330123901367,..,95.4021072387695,97.5464172363281,93.9123229980469,95.2473602294922,95.4645385742188,..,..
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.5695190429688,94.9416275024414,..,91.3162612915039,99.1493301391602,95.6996002197266,..,95.9825897216797,93.6381912231445,93.6509704589844,94.2078094482422,94.1171798706055,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1839720218279.84,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,38104791564.1847,44445475289.7564,52878485230.9497,71096170302.6902,94149081353.8592,109283938178.218,134295028883.364,155168071380.052,175199730852.248,194520859145.655,199402043518.47,221722335255.197,234075118335.317,164809382491.727,170038632264.606,180690370460.468,220988451255.431,244672494522.204,275004719523.924,395215978875.58,390840332122.173,517493851751.67,345840072548.66,375652808617.496,470578114932.686,670565456568.452,734491461020.77,757429908786.282,730382131149.167,499455661713.755,544563648692.453,464508109587.727,421382487109.325,463129008342.825,552767462581.232,734013900036.249,908497252360.639,1138501501583.09,1365271502249.67,1377450360807.73,1839720218279.84,2177387003901.29,2071000094891.7,2105662209517.96,2073078414519.02,1536653737092.89,1526696390957.92,..
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9348.34906997063,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,399.728034112977,454.783053405801,528.026616648522,693.051329977584,896.065942358435,1015.53578248374,1218.5035246847,1374.7763247803,1515.86143212707,1643.70916651499,1645.7777885388,1787.6377657027,1843.87535995975,1268.91313015362,1280.40479267867,1331.77567315888,1595.59066059224,1731.90665839725,1909.73454661981,2694.18939045877,2616.9047128327,3405.08953397253,2237.51617788853,2390.67267124923,2946.54364301567,4131.72800285228,4453.803509468,4520.75064838208,4292.05726175307,2891.05030237806,3106.68689102585,2613.25658906224,2339.05134020487,2537.94144183837,2992.16237141717,3926.94341557844,4806.54811367964,5959.9096726133,7074.71433204107,7067.61754514305,9348.34906997063,10958.8972760032,10326.0368188946,10403.0257440698,10151.5430671103,7460.85652363244,7352.15664353063,..
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.6725293765172,11.4409522787178,12.3817655876386,12.196080574704,10.2332467145622,9.34365186040266,10.866092487957,7.66893470602267,2.82991700149815,5.23448113716097,8.6170756646508,7.75762635238607,12.8386462781044,15.3345254103652,26.2525537966102,10.5788203440977,11.0609622760897,12.5352457069559,12.7075591225839,12.1848174596675,7.12512008876597,5.60610796298248,4.93960711838822,4.79146570919925,2.13393724970025,3.0777275478508,2.73295679073321,4.41345597421294,5.45077747039515,7.5443300878313,7.08788659180861,7.19235063837708,7.36662790621212,6.922849321587,6.14965245888998,9.22458723900103,9.56950231290114,9.29679186321591,9.86704706463776,7.502937479142,6.62342102027747,5.76996240997651,..
"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17902980169.345,17202387027.2345,21451780333.5515,23914196751.6853,22405182019.1983,21238120678.6952,27454160619.1474,20493617525.5573,5417762902.68815,10319517837.856,18187544580.8386,19873021731.9615,36327591576.2104,48637587660.834,117745066507.638,47569993017.7109,65187781174.1345,49268780431.5338,54279195111.7962,65447091539.3659,53998363853.5209,46391496432.0337,42234579387.5717,39555274357.0951,12122449388.7247,19293935447.4464,14600466370.1094,21471463314.546,29137076460.2225,48567907476.5289,60724972223.2588,76407217771.735,98614837792.0898,111760402592.904,97665090560.6153,197776995321.63,243835703683.878,224317642471.605,241053933198.513,180624216285.369,116886160113.245,101466519968.16,..
"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.90113287522098,10.4245553112159,11.8932923216807,12.1065840649333,11.6314947739996,6.62241188895953,5.14154254633636,4.50806958124282,4.37794761604887,1.73801150593056,2.72593512390587,2.40552987092487,4.11259580732006,5.17075356300459,7.2978918682831,6.86155427740528,6.97925302171184,7.17451103250196,6.74012128431363,5.97132638638898,9.06690861089961,9.41590427509481,9.14317579966537,9.71524917451443,7.34793756740732,6.46192413610066,5.60503033268269,..
"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44522622222.6637,61437116726.651,46745634006.9804,51712184240.7968,62475084730.1068,50188544517.5498,42547138633.1662,38544851452.8465,36141533631.6252,9873278382.77525,17088587438.9023,12851230616.5329,20007778602.6121,27640211463.5054,46981419543.6901,58785885962.8703,74143396550.8536,96043026838.794,108810495977.574,94833022872.798,194396333999.41,239921948881.553,220611117282.226,237345480383.222,176892779410.25,114036159999.423,98566139909.325,..
Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,0.373179946565422,0.378954052610549,0.380374993484123,0.354532259571093,0.323814378919066,0.328322109866659,0.297134784400767,0.29627324000164,0.313292693612738,0.333005635870614,0.357828818202791,0.332911380180333,0.345057320784502,0.499077947326836,0.523647356387401,0.558227912211252,0.530307187095237,0.529182850523374,0.507718056192535,0.392751446231837,0.408370163583662,0.348193993074664,0.553472634803553,0.561461582044115,0.492917815050662,0.39189739977112,0.41493965895042,0.444012437671006,0.497509451223878,0.775157056154136,0.758027556394558,0.964054797331045,1.09019700735426,1.00895179424204,0.931310257391675,0.764867120360513,0.655545361080622,0.574686725705106,0.534114958576327,0.533695407654035,0.471212999795396,0.436343290650377,0.517037628534399,0.572725524530276,0.640999992982743,0.887977551564161,0.908288586526998,..
Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,155722643.794281,184490587.139646,220904098.352303,277885249.442034,337822588.951105,400608788.796001,446765919.129305,513302276.500041,614307446.562793,729099189.456915,813344903.774943,841130564.049829,922093227.759217,955464767.039334,1032344580.74994,1178218160.62956,1358509133.46935,1497349334.69841,1610364899.0898,1761525583.97995,1836326281.98992,2052081298.18553,2175379913.28458,2398232616.15905,2647560168.20012,2970029714.93141,3433696217.55675,3796390704.45026,4107119623.25556,4403504453.02986,4751991368.00628,5150337427.61746,5303808440.77848,5393341726.6029,5995468104.70266,6552945512.99027,6964120588.90388,7693158790.99654,8622591656.76864,8475830247.11679,10102900958.2133,11118245217.4169,12475342420.0922,13991799109.3796,15431305631.068,15670495043.4734,15972527280.6532,..
Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,8.50352307171142,8.56170091659533,8.78142697024698,9.14185520934733,9.28378789483279,9.9883548756373,10.1871110971822,10.088750647943,10.3606890503792,10.6136901668703,11.5244990647676,11.588046265506,11.8813870205744,11.4888089923724,11.5409924477534,12.3516033096341,12.5631888758048,12.1348003770816,12.1674444558211,10.8008662705816,11.7066846640853,11.3640114897729,10.7532946951963,10.934001667197,11.6163352289004,10.8493395242203,10.5789823911509,10.7695491362237,10.8604787603092,10.8991138967985,11.5010224280988,11.4806717260653,11.382381867458,11.4305571904304,12.1559114175299,11.7757421149938,11.6096550203027,11.802220131579,11.9463180726323,11.874854107088,12.244055974179,12.1062550893869,11.9157633447205,11.7296085417955,11.760986856632,11.5623788341016,11.666905975427,..
Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,3548398316.8973,4168191943.41754,5099844207.26642,7165459973.33432,9685404559.16325,12187490968.6064,15317136503.5012,17479063160.0807,20315342696.874,23238143935.8541,26195186374.2168,29278241813.9648,31750511721.2108,21994865263.5373,22752489561.1234,26069788009.4462,32183623470.7043,34336024406.9712,38592335301.6397,48442857301.5228,52641683062.6855,66973801714.9767,42264964535.8935,46703604061.2819,62393659781.4698,82222696024.8608,87542877713.7803,92081691329.0488,89657161938.7058,61915577233.7939,72098644489.2843,61333996209.1795,55375287785.1833,61101929155.8737,78255746255.2897,100887846268.261,123334009142.684,157992780235.408,192857775069.154,188589308016.307,262515008897.594,308473432805.122,287509495863.089,286556682597.774,283131645389.187,204045924236.924,205166041649.676,..
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,3.5992819,3.5992819,3.5992819,3,3.5992819,3.5992819,2.9,3,3.2,3.2,3.5,4,4.3,3.1,2.8,3.4,4.1,4.2286051,4.2,4.5498782,4.6342599,4.6342599,4.6342599,4.6342599,4.6342599,4.3,4.226346,4.226346,4.7496281904343,3.81,3.88,3.82,3.71,3.80499999999999,3.9,4.39,4.79,4.85,5.16,5.4,5.39,5.49,5.54,5.68859537743985,5.68859537743985,5.68859537743985,5.68859537743985,..
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,1501928756.85683,1752280062.55029,2090295462.25533,2351424238.05,3754986834.994,4391735795.923,4360382000,5197590000,6274592000,7006240000,7955500000,10106360000,11490847000,5934826000,5520060000,7176176000,10503134000,11965049560.705,13321434000,20406613216.038,20838969177.528,27312010720.65,18214587796.158,19794824079.459,24891536774.88,32587937000,34973731628.82,36136061305.74,39209890578.1837,21643809900,24323293200,20407853400,18049150000,20339589450,25106913000,37611017700,50886086000,64925495000,83301492000,85759560000,115562678000,139887945000,133671890000,138973522789.931,136946107397.412,100388918063.832,100035656290.893,..
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,3.70620883737756E-05,0.000160382292219288,0.000140873269086007,0.000895221934638834,0.251283622268279,0.199045607198083,0.17785956404383,0.12710539486633,0.108055386743058,0.334734339637699,0.471405814213363,0.413810021180573,0.275120395097861,0.714502655859493,0.976099179321014,1.07510062887304,0.31780138224851,0.525313657902268,0.306576011231973,0.408399005885071,0.564198274999197,0.21183496655915,0.353268414395733,0.324158826234149,0.241592210931279,0.193871193020505,0.277267703826363,0.243172227460765,0.130177191831839,0.450178435287337,0.95537338872236,0.834781735291358,1.11097539793444,1.23979401812999,1.3521068381816,1.75017112487687,1.76192392567197,1.43545964832746,1.73063735024831,0.904262134311417,1.036238220411,1.4115105589857,1.39805974086996,1.2629715203034,1.30777263943469,0.71140142028368,0.812595614390844,..
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,15465.4783549304,78080.7674558567,81812.6402168043,701682.185181256,262154151.767605,242869478.534885,267426083.305022,220213909.767763,211876082.879656,732884099.91976,1071505415.70697,1045528261.41462,735201480.616062,1367886754.53677,1924330727.07241,2269150391.3246,814124512.961298,1486401260.71736,972388595.145235,1831706297.30507,2537041667.15439,1248449375.41635,1388493241.30928,1384615251.96481,1297640083.35408,1469270284.71327,2294437384.6728,2079168747.51276,1074659582.36089,2557369153.39595,5989130682.82771,4459712899.16849,5404895310.95107,6627306525.97367,8704417628.95654,14994468600.4039,18717622631.9836,19216067674.2652,27938890191.2036,14360948659.8533,22217154693.2559,35965994798.2352,33733084457.5808,30854646835.3162,31483056967.2229,12554385424.3142,14289737657.7473,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.83711417,19.52124571,20.11644129,19.95870231,18.52161168,18.47511656,19.44343243,16.12051958,14.14234435,16.70760955,20.16603705,17.9229623,22.66872297,24.93834871,33.97764362,19.43617945,18.9673369,20.46382403,20.68892891,20.43204364,14.73546043,13.03617092,12.57100088,12.06565826,11.17899624,13.08812491,12.92905597,15.17853548,16.01553584,18.7111506,17.78789921,17.53942077,18.04403263,17.72704392,14.54978235,18.49871823,19.0627538,18.4416741,18.56023936,16.34188224,14.74741982,14.17305288,..
Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,0.180599514848514,0.144630222512019,0.166914211827883,0.151154319420326,0.219849256378961,0.248081312145679,0.318179631166909,0.222594442866831,0.180563322299585,0.206952804846397,0.277723137530175,0.242577810180267,0.250035910345279,0.374756483607852,0.345306266368712,0.331471450954249,0.257113195295643,0.250123236629129,0.261224152137427,0.215085696399728,0.241638432802574,0.189704442067028,0.255767400962513,0.195661043345858,0.100405697235945,0.0906624599672597,0.0844772193674778,0.132421317638936,0.302986428321352,0.370456638509925,0.42298580623662,0.474969063227666,0.556320879493097,0.320365794577969,0.397303004886503,0.640680309287731,0.966370205633209,1.59363267251281,1.67451109970497,0.435602033138004,0.86547398008745,0.964703976563378,0.763311485082815,0.733207317346627,0.726640495013001,0.566629392182814,0.592151650446865,..
Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,75361589.4396534,70412005.058571,96936008.1436657,118475976.790302,229359935.209914,302701374.640793,478408529.829941,385651550.100071,354050367.99825,453112818.570944,631264691.606089,612894669.42336,668168462.856585,717456297.607889,680754038.832598,699616903.242077,658657156.916661,707736204.203951,828542929.024927,964678706.065456,1086580373.55199,1118023129.32203,1005273308.09108,835748537.157931,539299080.993707,687093612.483275,699063351.393171,1132227425.86325,2501262040.90696,2104486367.4808,2651651490.85869,2537460474.31559,2706501078.73392,1712512151.25859,2557705635.46769,5488983702.20098,10266137242.5238,21333482497.1272,27032804840.3071,6917970129.07789,18555935227.8709,24581139674.8232,18417561167.8207,17912401404.2416,17492997948.844,9999535535.60699,10413164418.6033,..
Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,0.180636576936888,0.144790604804238,0.167055085096969,0.152049541354965,0.47113287864724,0.447126919343762,0.496039195210739,0.349699837733161,0.288618709042643,0.541687144484096,0.749128951743538,0.65638783136084,0.52515630544314,2.42457520383567,2.20846492392437,2.03911682242624,1.17183058150509,1.39473805757981,1.12869002936421,1.08139721229607,1.37655553717857,0.828429037643713,1.25609042174785,1.12014237013582,0.772308848273044,0.669101693941338,0.6625436414538,0.644126023476581,0.665834913574602,1.18077961911134,1.63134252128575,1.57138015582854,2.00251286854928,1.93023698506608,1.97956576890065,2.54933552949832,2.87184314783188,3.15056871234177,3.48375667790985,1.39158582845095,1.94889846282046,2.44067280051737,2.25212546346491,2.07943888647103,2.125544786938,1.36225952096003,1.51646928925888,..
